instance_name,group,pca_1,pca_2,tsne_1,tsne_2,umap_1,umap_2
iptv-epg_py_2026-01-06,Instances_IPTV,0.04072315803961668,-0.02650282128059611,-12.5243025,-13.866164,12.364341,1.598728
iptv-epg_py_2026-01-07,Instances_IPTV,0.08574468518696687,0.03145164232288711,-13.879067,-13.490326,12.528932,1.466454
iptv-epg_ro_2026-01-04,Instances_IPTV,0.46539857571614884,0.13422808741657866,7.7214966,24.858019,19.381502,14.803576
iptv-epg_ro_2026-01-05,Instances_IPTV,0.4849716218250527,0.017280939605649803,29.70874,-8.80567,6.755189,10.750887
iptv-epg_ro_2026-01-06,Instances_IPTV,-0.010963198589364787,-0.049111514217992536,-6.2155876,-9.962766,10.837296,1.8359661
iptv-epg_ro_2026-01-07,Instances_IPTV,0.021365226073918442,-0.0006666291867081231,-8.71535,-8.899438,11.074697,1.5154958
iptv-epg_rs_2026-01-04,Instances_IPTV,0.5010905950961254,0.10860153444414511,13.409535,19.08556,17.617828,14.269104
iptv-epg_rs_2026-01-05,Instances_IPTV,0.4790437159905375,0.10471503087507905,12.7136965,19.578249,17.774004,14.3645315
iptv-epg_rs_2026-01-06,Instances_IPTV,0.12205997992691664,-0.07018191411805375,-11.13455,-18.034983,12.357955,2.9172451
iptv-epg_rs_2026-01-07,Instances_IPTV,0.11202042210505891,-0.07234293301258699,-10.766002,-17.473766,12.253873,2.8140972
iptv-epg_ru_2026-01-04,Instances_IPTV,0.48986016652921915,-0.03280821506854881,28.345037,-4.3656993,7.800745,10.285715
iptv-epg_ru_2026-01-05,Instances_IPTV,0.45468993078306796,0.08184701670735095,11.382979,17.517277,17.605394,13.920521
iptv-epg_ru_2026-01-06,Instances_IPTV,0.06503861273696365,-0.09062372532890173,-10.000349,-16.4077,12.096982,2.603602
iptv-epg_ru_2026-01-07,Instances_IPTV,0.11849855976540569,-0.08155275379764293,-10.986946,-16.931236,12.27399,2.9032135
iptv-epg_sa_2026-01-04,Instances_IPTV,0.16349096740371238,-0.4829525686290591,10.272793,5.4736915,16.384254,12.258223
iptv-epg_sa_2026-01-05,Instances_IPTV,0.1377696324352723,-0.4760794805580765,10.272727,5.4730234,16.398443,12.281224
iptv-epg_sa_2026-01-06,Instances_IPTV,-0.30897584721454585,-0.4058624796946144,4.5422544,-8.501814,9.764606,3.9467378
iptv-epg_sa_2026-01-07,Instances_IPTV,-0.27511636466783806,-0.4942312468465265,5.4055595,-8.529609,9.769465,4.0072703
iptv-epg_se_2026-01-04,Instances_IPTV,0.4587890131521818,-0.03310843695040255,28.176218,-4.8734846,7.755064,10.327682
iptv-epg_se_2026-01-05,Instances_IPTV,0.423826805632488,0.08653858435262562,9.133012,18.32461,17.997555,13.691496
